t,q0,q1,q2,q3,q4,q5,x,y,z,roll,pitch,yaw
3.150000,-1.023300,-1.743186,0.441261,-0.816521,-1.011050,-2.457288,-0.206723,0.046042,0.875331,-3.054275,-0.748306,2.981395
3.200000,-1.127953,-1.772039,0.516066,-0.773992,-1.098798,-2.558572,-0.197434,0.074925,0.854514,-3.111169,-0.623953,2.961213
3.250000,-1.232606,-1.800892,0.590870,-0.731462,-1.186546,-2.659857,-0.183522,0.100631,0.832998,3.117370,-0.497782,2.959463
3.300000,-1.337260,-1.829745,0.665675,-0.688933,-1.274294,-2.761142,-0.165816,0.122533,0.811025,3.068546,-0.372519,2.975100
3.350000,-1.441913,-1.858597,0.740480,-0.646403,-1.362042,-2.862427,-0.145219,0.140208,0.788808,3.028559,-0.251172,3.007992
3.400000,-1.546567,-1.887450,0.815285,-0.603874,-1.449790,-2.963712,-0.122652,0.153439,0.766537,3.000029,-0.137166,3.058568
3.450000,-1.651220,-1.916303,0.890090,-0.561344,-1.537538,-3.064997,-0.099016,0.162206,0.744362,2.985096,-0.034439,3.127417
3.500000,-1.653359,-1.911156,0.857750,-0.582807,-1.490970,-3.068942,-0.102744,0.159385,0.755401,2.991507,-0.084205,3.081925
3.550000,-1.592918,-1.885255,0.760005,-0.643333,-1.362408,-3.013466,-0.122735,0.147367,0.787092,3.032131,-0.228273,2.967241
3.600000,-1.532476,-1.859353,0.662259,-0.703860,-1.233846,-2.957989,-0.141197,0.130073,0.818915,3.107475,-0.375445,2.856515
3.650000,-1.472035,-1.833451,0.564513,-0.764387,-1.105284,-2.902513,-0.157151,0.107270,0.850233,-3.062787,-0.518936,2.741292
3.700000,-1.411593,-1.807549,0.466767,-0.824914,-0.976721,-2.847037,-0.169569,0.079010,0.880282,-2.907191,-0.651419,2.612042
3.750000,-1.351152,-1.781647,0.369021,-0.885440,-0.848159,-2.791560,-0.177443,0.045659,0.908204,-2.702878,-0.764349,2.459424
3.800000,-1.290710,-1.755745,0.271275,-0.945967,-0.719597,-2.736084,-0.179866,0.007912,0.933103,-2.447546,-0.847972,2.278800
3.850000,-1.230269,-1.729843,0.173530,-1.006494,-0.591035,-2.680607,-0.176104,-0.033230,0.954084,-2.151253,-0.893360,2.078632
3.900000,-1.169827,-1.703942,0.075784,-1.067021,-0.462472,-2.625131,-0.165669,-0.076496,0.970314,-1.840760,-0.896906,1.884597
3.950000,-1.109386,-1.678040,-0.021962,-1.127548,-0.333910,-2.569654,-0.148376,-0.120417,0.981067,-1.547426,-0.863605,1.727261
4.000000,-1.048944,-1.652138,-0.119708,-1.188074,-0.205348,-2.514178,-0.124379,-0.163402,0.985769,-1.289327,-0.804645,1.623955
4.050000,-0.988503,-1.626236,-0.217454,-1.248601,-0.076786,-2.458702,-0.094181,-0.203837,0.984032,-1.068592,-0.732041,1.575879
4.100000,-0.928061,-1.600334,-0.315200,-1.309128,0.051777,-2.403225,-0.058625,-0.240184,0.975683,-0.879764,-0.655402,1.576213
4.150000,-0.867620,-1.574432,-0.412946,-1.369655,0.180339,-2.347749,-0.018851,-0.271078,0.960771,-0.716578,-0.581310,1.616692
4.200000,-0.807178,-1.548530,-0.510691,-1.430181,0.308901,-2.292272,0.023763,-0.295404,0.939573,-0.574530,-0.513703,1.690054
4.250000,-0.746737,-1.522629,-0.608437,-1.490708,0.437463,-2.236796,0.067683,-0.312370,0.912575,-0.451157,-0.454316,1.790346
4.300000,-0.686295,-1.496727,-0.706183,-1.551235,0.566026,-2.181319,0.111313,-0.321546,0.880447,-0.345517,-0.402983,1.912603
4.350000,-0.625854,-1.470825,-0.803929,-1.611762,0.694588,-2.125843,0.153088,-0.322876,0.844009,-0.257454,-0.357888,2.052473
4.400000,-0.565412,-1.444923,-0.901675,-1.672288,0.823150,-2.070366,0.191567,-0.316672,0.804186,-0.186871,-0.315863,2.205897
4.450000,-0.504971,-1.419021,-0.999421,-1.732815,0.951712,-2.014890,0.225517,-0.303574,0.761954,-0.133119,-0.272815,2.368857
4.500000,-0.444529,-1.393119,-1.097167,-1.793342,1.080275,-1.959414,0.253974,-0.284495,0.718291,-0.094615,-0.224278,2.537205
4.550000,-0.384087,-1.367217,-1.194912,-1.853869,1.208837,-1.903937,0.276286,-0.260548,0.674128,-0.068802,-0.166025,2.706657
4.600000,-0.323646,-1.341315,-1.292658,-1.914396,1.337399,-1.848461,0.292127,-0.232964,0.630297,-0.052458,-0.094626,2.872989
4.650000,-0.263204,-1.315414,-1.390404,-1.974922,1.465961,-1.792984,0.301491,-0.203013,0.587500,-0.042250,-0.007818,3.032380
4.700000,-0.320468,-1.371953,-1.444570,-1.882737,1.491029,-1.851673,0.326148,-0.229983,0.550646,-0.040496,0.009473,3.061310
4.750000,-0.403376,-1.446455,-1.489242,-1.757281,1.493549,-1.935234,0.346542,-0.273288,0.511214,-0.040059,0.009364,3.062500
4.800000,-0.486283,-1.520956,-1.533914,-1.631825,1.496070,-2.018795,0.357163,-0.319022,0.468308,-0.039605,0.009171,3.063112
4.850000,-0.569191,-1.595457,-1.578585,-1.506368,1.498590,-2.102356,0.357778,-0.365341,0.422568,-0.039139,0.008988,3.063145
4.900000,-0.652099,-1.669958,-1.623257,-1.380912,1.501110,-2.185918,0.348509,-0.410417,0.374655,-0.038663,0.008910,3.062608
4.950000,-0.735006,-1.744459,-1.667928,-1.255456,1.503630,-2.269479,0.329822,-0.452504,0.325241,-0.038182,0.009030,3.061522
5.000000,-0.817914,-1.818960,-1.712600,-1.130000,1.506150,-2.353040,0.302497,-0.490001,0.274997,-0.037700,0.009438,3.059921
