t,q0,q1,q2,q3,q4,q5,x,y,z,roll,pitch,yaw
4.050000,-0.988503,-1.626236,-0.217454,-1.248601,-0.076786,-2.458702,-0.094181,-0.203837,0.984032,-1.068592,-0.732041,1.575879
4.100000,-0.928061,-1.600334,-0.315200,-1.309128,0.051777,-2.403225,-0.058625,-0.240184,0.975683,-0.879764,-0.655402,1.576213
4.150000,-0.867620,-1.574432,-0.412946,-1.369655,0.180339,-2.347749,-0.018851,-0.271078,0.960771,-0.716578,-0.581310,1.616692
4.200000,-0.807178,-1.548530,-0.510691,-1.430181,0.308901,-2.292272,0.023763,-0.295404,0.939573,-0.574530,-0.513703,1.690054
4.250000,-0.746737,-1.522629,-0.608437,-1.490708,0.437463,-2.236796,0.067683,-0.312370,0.912575,-0.451157,-0.454316,1.790346
4.300000,-0.686295,-1.496727,-0.706183,-1.551235,0.566026,-2.181319,0.111313,-0.321546,0.880447,-0.345517,-0.402983,1.912603
4.350000,-0.625854,-1.470825,-0.803929,-1.611762,0.694588,-2.125843,0.153088,-0.322876,0.844009,-0.257454,-0.357888,2.052473
4.400000,-0.565412,-1.444923,-0.901675,-1.672288,0.823150,-2.070366,0.191567,-0.316672,0.804186,-0.186871,-0.315863,2.205897
4.450000,-0.504971,-1.419021,-0.999421,-1.732815,0.951712,-2.014890,0.225517,-0.303574,0.761954,-0.133119,-0.272815,2.368857
4.500000,-0.446064,-1.394195,-1.096598,-1.791350,1.078925,-1.960903,0.254026,-0.285227,0.718431,-0.095077,-0.224404,2.535220
4.550000,-0.403513,-1.380823,-1.187720,-1.828666,1.191756,-1.922779,0.277772,-0.270103,0.675730,-0.072499,-0.170521,2.682052
4.600000,-0.381039,-1.381514,-1.271409,-1.839933,1.286935,-1.904128,0.298513,-0.261751,0.634260,-0.059268,-0.116616,2.803377
4.650000,-0.378642,-1.396267,-1.347664,-1.825152,1.364461,-1.904950,0.317283,-0.261617,0.593561,-0.051047,-0.068466,2.900301
4.700000,-0.396322,-1.425082,-1.416486,-1.784323,1.424334,-1.925245,0.334153,-0.270962,0.552892,-0.045662,-0.030562,2.974397
4.750000,-0.434079,-1.467959,-1.477874,-1.717446,1.466553,-1.965014,0.348127,-0.290927,0.511396,-0.042113,-0.005407,3.026525
4.800000,-0.491913,-1.524899,-1.531829,-1.624521,1.491120,-2.024256,0.357079,-0.322407,0.468211,-0.039988,0.006862,3.056334
4.850000,-0.569191,-1.595457,-1.578585,-1.506368,1.498590,-2.102356,0.357778,-0.365341,0.422568,-0.039139,0.008988,3.063145
4.900000,-0.652099,-1.669958,-1.623257,-1.380912,1.501110,-2.185918,0.348509,-0.410417,0.374655,-0.038663,0.008910,3.062608
4.950000,-0.735006,-1.744459,-1.667928,-1.255456,1.503630,-2.269479,0.329822,-0.452504,0.325241,-0.038182,0.009030,3.061522
5.000000,-0.817914,-1.818960,-1.712600,-1.130000,1.506150,-2.353040,0.302497,-0.490001,0.274997,-0.037700,0.009438,3.059921
